Purch_Keurig_L12m,Purch_Keurig_L6m,Purch_Keurig_L3m,Purch_kcups_L12m,Purch_kcups_L6m,Purch_kcups_L3m,Purch_kcups_lsize_L12m,Purch_kcups_lsize_L6m,Purch_kcups_lsize_L3m,Qty_kcups_L12M,Purch_Keurig_P35_L12M,Purch_Keurig_P35_L6M,Purch_Keurig_P35_L3M,holdout_flag
upc,upc,upc,upc,upc,upc,upc,upc,upc,qtyupc,upc,upc,upc,holdout
upc,upc,upc,upc,upc,upc,upc,upc,upc,upc,upc,upc,upc,smple_flg
12,6,3,12,6,3,12,6,3,12,12,6,3,12
2017-08-31,2017-08-31,2017-08-31,2017-08-31,2017-08-31,2017-08-31,2017-08-31,2017-08-31,2017-08-31,2017-08-31,2017-08-31,2017-08-31,2017-08-31,2017-08-31
,,,76211115333,76211115333,76211115333,,,,76211115333,,,,
,,,76211188808,76211188808,76211188808,,,,76211188808,,,,
,,,76211188816,76211188816,76211188816,,,,76211188816,,,,
,,,76211188822,76211188822,76211188822,,,,76211188822,,,,
,,,76211188823,76211188823,76211188823,,,,76211188823,,,,
,,,76211188824,76211188824,76211188824,,,,76211188824,,,,
,,,76211189532,76211189532,76211189532,,,,76211189532,,,,
,,,76211192558,76211192558,76211192558,,,,76211192558,,,,
,,,76211193024,76211193024,76211193024,,,,76211193024,,,,
,,,76211194957,76211194957,76211194957,,,,76211194957,,,,
,,,76211194962,76211194962,76211194962,,,,76211194962,,,,
,,,76211197221,76211197221,76211197221,,,,76211197221,,,,
,,,78535701252,78535701252,78535701252,,,,78535701252,,,,
,,,78535701253,78535701253,78535701253,,,,78535701253,,,,
,,,78535701254,78535701254,78535701254,,,,78535701254,,,,
,,,78535701255,78535701255,78535701255,,,,78535701255,,,,
,,,78535701256,78535701256,78535701256,,,,78535701256,,,,
,,,78535701257,78535701257,78535701257,,,,78535701257,,,,
,,,78535701258,78535701258,78535701258,,,,78535701258,,,,
,,,78535701266,78535701266,78535701266,,,,78535701266,,,,
,,,78535701289,78535701289,78535701289,,,,78535701289,,,,
,,,78535701418,78535701418,78535701418,,,,78535701418,,,,
,,,78535701419,78535701419,78535701419,,,,78535701419,,,,
,,,78535701507,78535701507,78535701507,,,,78535701507,,,,
,,,78535701536,78535701536,78535701536,,,,78535701536,,,,
,,,81839001072,81839001072,81839001072,,,,81839001072,,,,
,,,81839001073,81839001073,81839001073,,,,81839001073,,,,
,,,81839001074,81839001074,81839001074,,,,81839001074,,,,
,,,81839001075,81839001075,81839001075,,,,81839001075,,,,
,,,81839001094,81839001094,81839001094,,,,81839001094,,,,
,,,83425900526,83425900526,83425900526,,,,83425900526,,,,
,,,83425900527,83425900527,83425900527,,,,83425900527,,,,
,,,83425900732,83425900732,83425900732,,,,83425900732,,,,
,,,88133400647,88133400647,88133400647,,,,88133400647,,,,
,,,88133400648,88133400648,88133400648,,,,88133400648,,,,
,,,88133400649,88133400649,88133400649,,,,88133400649,,,,
,,,88133400650,88133400650,88133400650,,,,88133400650,,,,
,,,88133400651,88133400651,88133400651,,,,88133400651,,,,
,,,88133400695,88133400695,88133400695,,,,88133400695,,,,
